"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TEMP","TEMP_ATTRIBUTES"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-01","  80.1","12"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-02","  79.4","15"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-03","  83.5","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-04","  81.5","12"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-05","  83.5","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-06","  81.9","15"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-07","  78.7","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-08","  83.4","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-09","  78.9","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-10","  81.8","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-11","  82.6","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-12","  79.6","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-13","  81.6","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-14","  81.6","11"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-15","  83.4","11"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-16","  81.2","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-17","  77.5","16"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-18","  83.6","10"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-19","  83.3","12"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-20","  85.6","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-21","  85.4","14"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-22","  85.9","13"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-23","  86.3","12"
"80091099999","YARIGUIES, CO","7.024331","-73.8068","125.57","2018-01-24","  85.3","13"
