,STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  .1,  SLP  ,  .2,  STP  ,  .3, VISIB,  .4,  WDSP,  .5, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Unnamed: 22
0,875850,99999,20180101,72.0,8,54.9,8,1011.2,8,1008.3,8,6.2,8,4.2,8,6.0,999.9,   81.7*,  63.5 , 0.00I,999.9,0,
1,875850,99999,20180102,77.7,8,59.4,8,1007.2,8,1004.3,8,6.2,8,3.0,8,5.1,999.9,   90.3*,  65.5 , 0.00I,999.9,0,
2,875850,99999,20180103,79.0,8,53.5,8,1005.7,8,1002.8,8,6.2,8,4.7,8,8.0,999.9,   91.4 ,  62.4 , 0.00I,999.9,0,
3,875850,99999,20180104,84.6,8,59.0,8,1004.4,8,1001.6,8,6.2,8,7.2,8,15.9,999.9,   96.1*,  72.0 , 0.00I,999.9,0,
4,875850,99999,20180105,76.6,8,64.7,8,1007.0,8,1004.1,8,6.1,8,3.7,8,8.9,999.9,   98.1 ,  66.9*, 0.59A,999.9,10010,
5,875850,99999,20180106,69.9,8,53.7,8,1015.9,8,1012.9,8,6.2,8,2.9,8,5.1,999.9,   78.6*,  60.4 , 0.04A,999.9,0,
6,875850,99999,20180107,77.2,8,53.6,8,1016.8,8,1013.9,8,6.2,8,6.4,8,9.9,999.9,   90.7*,  65.7 , 0.00I,999.9,0,
7,875850,99999,20180108,82.2,8,57.3,8,1018.0,8,1015.1,8,6.2,8,4.6,8,7.0,999.9,   91.4 ,  73.2 , 0.00I,999.9,0,
8,875850,99999,20180109,81.1,8,61.1,8,1018.0,8,1015.1,8,6.2,8,4.9,8,9.9,999.9,   91.4 ,  75.0 , 0.00I,999.9,0,
9,875850,99999,20180110,82.4,8,68.2,8,1015.7,8,1012.8,8,6.2,8,4.7,8,7.0,999.9,   91.4*,  75.2 , 0.00I,999.9,0,
10,875850,99999,20180111,87.8,8,68.7,8,1013.3,8,1010.4,8,6.2,8,4.2,8,7.0,999.9,   98.1*,  79.2 , 0.00I,999.9,0,
11,875850,99999,20180112,86.0,8,69.0,8,1009.0,8,1006.2,8,6.2,8,6.4,8,12.0,999.9,   98.6 ,  81.9 , 0.00I,999.9,0,
12,875850,99999,20180113,78.8,8,68.8,8,1006.9,8,1004.0,8,6.1,8,3.2,8,7.0,999.9,   92.3 ,  72.9 , 0.00B,999.9,10000,
13,875850,99999,20180114,66.6,8,62.9,8,1010.0,8,1007.1,8,5.9,8,7.7,8,9.9,999.9,   86.9 ,  61.7 , 0.59G,999.9,10000,
14,875850,99999,20180115,69.1,8,61.9,8,1012.2,8,1009.1,8,6.2,8,5.3,8,8.0,999.9,   80.8*,  60.4 , 0.04G,999.9,0,
15,875850,99999,20180116,75.9,8,63.7,8,1015.7,8,1012.8,8,6.2,8,4.5,8,7.0,999.9,   84.7*,  65.5 , 0.00G,999.9,0,
16,875850,99999,20180117,77.8,8,67.7,8,1013.2,8,1010.3,8,6.1,8,3.8,8,6.0,999.9,   86.0 ,  74.3 ,99.99 ,999.9,10000,
17,875850,99999,20180118,77.2,8,63.9,8,1012.2,8,1009.2,8,6.2,8,3.9,8,6.0,999.9,   87.8*,  66.7 , 0.00G,999.9,0,
18,875850,99999,20180119,81.3,8,64.0,8,1013.3,8,1010.4,8,6.2,8,3.1,8,8.0,999.9,   91.8 ,  69.3 , 0.04G,999.9,0,
19,875850,99999,20180120,79.6,8,62.6,8,1013.8,8,1010.9,8,6.2,8,3.5,8,6.0,999.9,   94.5 ,  69.8 , 0.00G,999.9,0,
20,875850,99999,20180121,82.8,8,66.5,8,1009.3,8,1006.4,8,6.2,8,5.1,8,9.9,999.9,   92.1 ,  77.4 , 0.00I,999.9,0,
21,875850,99999,20180122,80.3,8,70.6,8,1004.7,8,1001.9,8,6.2,8,3.1,8,7.0,999.9,   91.9 ,  73.4 , 0.00I,999.9,10,
22,875850,99999,20180123,81.8,8,69.8,8,1002.9,8,1000.0,8,6.2,8,3.5,8,6.0,999.9,   96.4*,  74.5 , 0.03G,999.9,0,
23,875850,99999,20180124,73.9,8,60.2,8,1011.5,8,1008.6,8,6.2,8,8.5,8,15.9,999.9,   96.8 ,  65.1 , 0.24G,999.9,0,
24,875850,99999,20180125,68.3,8,53.1,8,1019.1,8,1016.2,8,6.2,8,5.9,8,8.0,999.9,   79.2 ,  58.6 , 0.00G,999.9,0,
25,875850,99999,20180126,74.5,8,59.8,8,1016.2,8,1013.3,8,6.1,8,5.1,8,11.1,999.9,   83.3*,  66.4 , 0.00G,999.9,10000,
26,875850,99999,20180127,77.7,8,66.0,8,1009.6,8,1006.7,8,6.1,8,5.4,8,8.9,999.9,   85.1 ,  71.8 , 0.00G,999.9,10000,
27,875850,99999,20180128,79.2,8,66.1,8,1009.2,8,1006.3,8,6.2,8,3.7,8,7.0,999.9,   87.4*,  69.8 , 0.00G,999.9,0,
28,875850,99999,20180129,76.9,8,55.1,8,1013.2,8,1010.3,8,6.2,8,5.1,8,8.0,999.9,   90.7 ,  69.8 , 0.00I,999.9,0,
29,875850,99999,20180130,77.8,8,60.5,8,1010.5,8,1007.6,8,6.2,8,5.5,8,9.9,999.9,   88.9*,  69.3 , 0.00I,999.9,0,
