,STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  .1,  SLP  ,  .2,  STP  ,  .3, VISIB,  .4,  WDSP,  .5, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Unnamed: 22
0,836980,99999,20180101,84.8,15,70.8,15,9999.9,0,9999.9,0,6.2,10,7.4,15,12.0,999.9,   93.2*,  75.2*,99.99 ,999.9,10000,
1,836980,99999,20180102,85.8,15,71.4,15,9999.9,0,9999.9,0,6.2,6,8.7,15,14.0,999.9,   93.2*,  77.0*, 0.00I,999.9,0,
2,836980,99999,20180103,86.1,15,70.6,15,9999.9,0,9999.9,0,6.2,7,8.8,15,14.0,999.9,   93.2*,  77.0*, 0.00I,999.9,0,
3,836980,99999,20180104,75.3,15,72.4,15,9999.9,0,9999.9,0,5.2,15,8.6,15,14.0,999.9,   77.0*,  73.4*,99.99 ,999.9,10000,
4,836980,99999,20180105,80.8,15,71.7,15,9999.9,0,9999.9,0,6.2,10,7.2,15,17.1,999.9,   86.0*,  73.4*, 0.00I,999.9,0,
5,836980,99999,20180106,82.9,15,70.8,15,9999.9,0,9999.9,0,6.2,7,9.5,15,18.1,999.9,   87.8*,  73.4*, 0.00I,999.9,0,
6,836980,99999,20180107,83.0,15,69.0,15,9999.9,0,9999.9,0,6.2,7,10.5,15,20.0,999.9,   89.6*,  73.4*, 0.00I,999.9,0,
7,836980,99999,20180108,82.8,15,68.0,15,9999.9,0,9999.9,0,6.2,7,12.7,15,20.0,999.9,   87.8*,  75.2*, 0.00I,999.9,0,
8,836980,99999,20180109,82.2,15,71.4,15,9999.9,0,9999.9,0,6.2,15,10.3,15,15.0,999.9,   86.0*,  75.2*, 0.00I,999.9,0,
9,836980,99999,20180110,81.7,15,69.7,15,9999.9,0,9999.9,0,6.2,12,8.7,15,12.0,999.9,   86.0*,  75.2*, 0.00I,999.9,0,
10,836980,99999,20180111,81.4,15,69.9,15,9999.9,0,9999.9,0,6.2,10,8.0,15,15.9,999.9,   86.0*,  75.2*, 0.00I,999.9,0,
11,836980,99999,20180112,82.5,15,70.4,15,9999.9,0,9999.9,0,6.2,11,7.7,15,17.1,999.9,   89.6*,  75.2*, 0.00I,999.9,0,
12,836980,99999,20180113,83.2,15,69.4,15,9999.9,0,9999.9,0,6.2,6,10.2,15,17.1,999.9,   89.6*,  75.2*, 0.00I,999.9,0,
13,836980,99999,20180114,84.6,15,70.0,15,9999.9,0,9999.9,0,6.2,8,10.1,15,18.1,999.9,   89.6*,  75.2*, 0.00I,999.9,0,
14,836980,99999,20180115,85.3,15,69.9,15,9999.9,0,9999.9,0,6.2,5,10.0,15,15.9,999.9,   93.2*,  77.0*, 0.00I,999.9,0,
15,836980,99999,20180116,85.0,15,69.2,15,9999.9,0,9999.9,0,6.2,7,8.5,15,15.9,999.9,   91.4*,  75.2*, 0.00I,999.9,0,
16,836980,99999,20180117,84.1,15,69.0,15,9999.9,0,9999.9,0,999.9,0,10.3,15,22.0,999.9,   91.4*,  73.4*, 0.00I,999.9,0,
17,836980,99999,20180118,85.8,15,66.4,15,9999.9,0,9999.9,0,999.9,0,9.8,15,20.0,999.9,   93.2*,  73.4*, 0.00I,999.9,0,
18,836980,99999,20180119,87.3,15,65.8,15,9999.9,0,9999.9,0,999.9,0,9.1,15,14.0,999.9,   96.8*,  73.4*, 0.00I,999.9,0,
19,836980,99999,20180120,85.2,15,69.3,15,9999.9,0,9999.9,0,999.9,0,6.9,15,15.9,999.9,   93.2*,  73.4*, 0.00I,999.9,0,
20,836980,99999,20180121,84.1,15,69.7,15,9999.9,0,9999.9,0,6.2,8,6.5,15,15.9,999.9,   91.4*,  75.2*, 0.00I,999.9,0,
21,836980,99999,20180122,85.4,15,67.8,15,9999.9,0,9999.9,0,999.9,0,14.3,15,20.0,999.9,   91.4*,  77.0*, 0.00I,999.9,0,
22,836980,99999,20180123,85.0,15,68.1,15,9999.9,0,9999.9,0,6.2,4,12.5,15,22.0,999.9,   91.4*,  77.0*, 0.00I,999.9,0,
23,836980,99999,20180124,84.6,15,65.4,15,9999.9,0,9999.9,0,999.9,0,13.6,15,22.0,999.9,   91.4*,  75.2*, 0.00I,999.9,0,
24,836980,99999,20180125,85.3,15,66.2,15,9999.9,0,9999.9,0,999.9,0,11.7,15,18.1,999.9,   91.4*,  75.2*, 0.00I,999.9,0,
25,836980,99999,20180126,84.1,15,69.4,15,9999.9,0,9999.9,0,6.2,11,6.1,15,13.0,999.9,   91.4*,  73.4*, 0.00I,999.9,0,
26,836980,99999,20180127,82.9,15,70.4,15,9999.9,0,9999.9,0,6.2,12,9.2,15,20.0,999.9,   89.6*,  73.4*, 0.00I,999.9,0,
27,836980,99999,20180128,83.0,15,70.0,15,9999.9,0,9999.9,0,6.2,15,6.0,15,12.0,999.9,   89.6*,  75.2*, 0.00I,999.9,0,
28,836980,99999,20180129,86.5,15,70.0,15,9999.9,0,9999.9,0,6.2,6,7.3,15,13.0,999.9,   95.0*,  75.2*,99.99 ,999.9,10010,
29,836980,99999,20180130,75.6,15,72.6,15,9999.9,0,9999.9,0,4.8,15,5.1,15,9.9,999.9,   77.0*,  73.4*,99.99 ,999.9,10010,
30,836980,99999,20180131,77.9,15,69.1,15,9999.9,0,9999.9,0,6.5,15,4.7,15,9.9,999.9,   82.4*,  71.6*, 2.76G,999.9,10000,
31,836980,99999,20180201,79.9,15,67.9,15,9999.9,0,9999.9,0,8.3,12,4.0,15,9.9,999.9,   86.0*,  71.6 , 0.00G,999.9,0,
32,836980,99999,20180202,80.4,15,69.6,15,9999.9,0,9999.9,0,8.7,10,3.3,15,11.1,999.9,   86.0*,  73.4 , 0.16G,999.9,0,
33,836980,99999,20180203,81.3,15,68.5,15,9999.9,0,9999.9,0,8.5,11,6.1,15,13.0,999.9,   86.0*,  73.4*, 0.00G,999.9,0,
34,836980,99999,20180204,75.0,15,69.7,15,9999.9,0,9999.9,0,6.6,15,5.9,15,9.9,999.9,   77.0*,  72.5 , 0.02G,999.9,10000,
35,836980,99999,20180205,72.2,15,69.2,15,9999.9,0,9999.9,0,4.9,15,3.4,15,8.0,999.9,   75.2*,  67.8 , 0.28G,999.9,10000,
36,836980,99999,20180206,78.0,15,72.0,15,9999.9,0,9999.9,0,5.8,15,3.8,15,9.9,999.9,   86.0*,  68.9 , 1.77G,999.9,10000,
37,836980,99999,20180207,78.4,15,70.6,15,9999.9,0,9999.9,0,7.9,15,4.7,15,14.0,999.9,   84.2*,  72.5 , 0.12G,999.9,10000,
38,836980,99999,20180208,81.7,15,70.8,15,9999.9,0,9999.9,0,8.5,11,4.9,15,14.0,999.9,   87.8*,  72.3 , 0.00G,999.9,0,
39,836980,99999,20180209,82.8,15,73.0,15,9999.9,0,9999.9,0,8.7,10,8.0,15,18.1,999.9,   89.6*,  73.4*, 0.00I,999.9,0,
40,836980,99999,20180210,83.0,15,70.5,15,9999.9,0,9999.9,0,11.2,5,11.1,15,15.9,999.9,   87.8*,  75.2 , 0.00I,999.9,0,
41,836980,99999,20180211,82.7,15,69.6,15,9999.9,0,9999.9,0,11.2,5,11.0,15,15.9,999.9,   87.8*,  75.2 , 0.00I,999.9,0,
42,836980,99999,20180212,83.4,16,67.9,16,9999.9,0,9999.9,0,999.9,0,9.6,16,20.0,999.9,   91.4*,  71.6*, 0.00I,999.9,0,
43,836980,99999,20180213,84.2,16,71.3,16,9999.9,0,9999.9,0,11.2,10,7.3,16,15.9,999.9,   91.4*,  73.4*, 0.00I,999.9,0,
44,836980,99999,20180214,82.7,16,70.4,16,9999.9,0,9999.9,0,10.4,12,9.6,16,14.0,999.9,   87.8*,  75.2*, 0.00I,999.9,0,
45,836980,99999,20180215,81.6,15,70.9,15,9999.9,0,9999.9,0,8.7,10,7.8,15,14.0,999.9,   87.8*,  71.6*, 0.00I,999.9,0,
46,836980,99999,20180216,81.6,15,70.6,15,9999.9,0,9999.9,0,8.0,14,3.6,15,9.9,999.9,   87.8*,  73.4*, 0.03G,999.9,0,
47,836980,99999,20180217,81.8,15,70.7,15,9999.9,0,9999.9,0,8.1,13,5.4,15,14.0,999.9,   87.8*,  73.4*, 0.20G,999.9,0,
48,836980,99999,20180218,82.9,15,70.3,15,9999.9,0,9999.9,0,8.1,13,5.9,15,15.9,999.9,   89.6*,  73.4 , 0.00G,999.9,0,
49,836980,99999,20180219,81.8,18,71.7,18,9999.9,0,9999.9,0,8.0,14,7.0,18,15.9,999.9,   87.8*,  75.2 , 0.24G,999.9,10000,
50,836980,99999,20180220,81.3,17,71.8,17,9999.9,0,9999.9,0,8.7,10,8.2,17,15.9,999.9,   89.6*,  75.2*, 0.00G,999.9,10010,
51,836980,99999,20180221,83.7,15,72.3,15,9999.9,0,9999.9,0,8.7,10,7.3,15,14.0,999.9,   91.4*,  75.2*, 0.24G,999.9,0,
52,836980,99999,20180222,81.7,14,72.9,14,9999.9,0,9999.9,0,8.0,14,4.7,14,14.0,999.9,   89.6*,  77.0*, 0.00G,999.9,10010,
53,836980,99999,20180223,80.3,15,72.7,15,9999.9,0,9999.9,0,8.0,14,7.8,15,15.9,999.9,   86.0*,  74.3 , 0.51G,999.9,0,
54,836980,99999,20180224,80.5,15,68.1,15,9999.9,0,9999.9,0,8.5,11,9.0,15,12.0,999.9,   86.0*,  73.4 , 0.12G,999.9,0,
55,836980,99999,20180225,80.2,15,68.8,15,9999.9,0,9999.9,0,8.1,13,6.0,15,12.0,999.9,   84.2*,  73.4*, 0.00G,999.9,0,
56,836980,99999,20180226,81.9,15,70.8,15,9999.9,0,9999.9,0,8.3,12,4.9,15,14.0,999.9,   87.8*,  73.4 , 0.00I,999.9,0,
57,836980,99999,20180227,82.7,14,72.9,14,9999.9,0,9999.9,0,8.7,10,6.5,14,14.0,999.9,   89.6*,  73.4 ,99.99 ,999.9,10010,
58,836980,99999,20180228,84.3,15,73.5,15,9999.9,0,9999.9,0,7.9,15,5.9,15,12.0,999.9,   89.6*,  75.2*,99.99 ,999.9,10010,
59,836980,99999,20180301,81.4,15,73.1,14,9999.9,0,9999.9,0,6.8,12,4.9,14,9.9,999.9,   89.6*,  69.8*, 0.63G,999.9,10000,
60,836980,99999,20180302,84.2,15,73.7,15,9999.9,0,9999.9,0,8.1,13,3.5,15,11.1,999.9,   91.4*,  75.2*, 0.00G,999.9,10,
61,836980,99999,20180303,81.2,15,73.5,15,9999.9,0,9999.9,0,7.8,13,4.7,15,12.0,999.9,   89.6*,  75.2*, 0.87G,999.9,10010,
62,836980,99999,20180304,82.3,16,74.0,16,9999.9,0,9999.9,0,9.3,16,2.4,16,11.1,999.9,   89.6*,  75.2 , 0.00G,999.9,10010,
63,836980,99999,20180305,82.4,15,74.5,15,9999.9,0,9999.9,0,6.0,13,4.5,15,15.0,999.9,   91.4*,  75.2*,99.99 ,999.9,10010,
64,836980,99999,20180306,83.4,15,73.4,15,9999.9,0,9999.9,0,8.5,11,4.5,15,9.9,999.9,   89.6*,  75.2*, 0.51G,999.9,0,
65,836980,99999,20180307,82.4,15,73.0,15,9999.9,0,9999.9,0,8.1,13,5.9,15,20.0,999.9,   89.6*,  75.2*, 0.00G,999.9,10010,
66,836980,99999,20180308,79.3,15,74.1,15,9999.9,0,9999.9,0,5.8,15,4.6,15,15.9,999.9,   84.2*,  73.4*, 1.69G,999.9,10010,
67,836980,99999,20180309,76.9,15,70.9,15,9999.9,0,9999.9,0,6.0,15,10.7,15,14.0,999.9,   78.8*,  72.5 , 5.91G,999.9,0,
68,836980,99999,20180310,81.4,15,69.7,15,9999.9,0,9999.9,0,8.3,12,3.8,15,8.9,999.9,   86.0*,  71.6*, 0.00G,999.9,0,
69,836980,99999,20180311,80.1,15,74.7,15,9999.9,0,9999.9,0,6.3,15,5.4,15,9.9,999.9,   86.0*,  75.2*, 0.51G,999.9,10010,
70,836980,99999,20180312,82.6,15,72.0,15,9999.9,0,9999.9,0,999.9,0,5.2,15,11.1,999.9,   91.4*,  72.5 , 1.02G,999.9,0,
71,836980,99999,20180313,83.7,15,72.5,15,9999.9,0,9999.9,0,8.1,12,6.6,15,13.0,999.9,   89.6*,  73.4*, 0.00G,999.9,0,
72,836980,99999,20180314,83.9,15,72.8,15,9999.9,0,9999.9,0,9.2,8,7.0,15,13.0,999.9,   89.6*,  77.0 , 0.00I,999.9,0,
73,836980,99999,20180315,84.7,15,75.1,15,9999.9,0,9999.9,0,8.5,11,5.9,15,14.0,999.9,   91.4*,  78.8*, 0.00I,999.9,0,
74,836980,99999,20180316,86.4,15,72.1,15,9999.9,0,9999.9,0,12.4,5,5.5,14,12.0,999.9,   96.8*,  78.8*,99.99 ,999.9,10010,
75,836980,99999,20180317,78.5,15,72.4,15,9999.9,0,9999.9,0,7.7,15,4.3,15,12.0,999.9,   80.6*,  75.2*, 0.04G,999.9,10000,
76,836980,99999,20180318,82.2,15,71.6,15,9999.9,0,9999.9,0,8.7,10,4.9,15,11.1,999.9,   86.0*,  75.2 , 0.28G,999.9,0,
77,836980,99999,20180319,83.6,15,72.0,15,9999.9,0,9999.9,0,8.2,7,7.2,15,12.0,999.9,   91.4*,  73.4*, 0.00G,999.9,100000,
78,836980,99999,20180320,84.5,15,72.3,15,9999.9,0,9999.9,0,8.5,11,7.5,15,15.0,999.9,   93.2*,  75.2*, 0.00I,999.9,0,
79,836980,99999,20180321,75.8,15,72.8,15,9999.9,0,9999.9,0,4.1,10,3.7,15,12.0,999.9,   77.0*,  73.4*, 0.47G,999.9,10010,
80,836980,99999,20180322,78.7,15,73.4,15,9999.9,0,9999.9,0,7.1,15,3.7,15,14.0,999.9,   86.0*,  74.5 , 1.65G,999.9,10000,
81,836980,99999,20180323,80.9,15,72.3,15,9999.9,0,9999.9,0,6.1,12,7.7,15,15.9,999.9,   86.0*,  73.4*, 0.75G,999.9,0,
82,836980,99999,20180324,81.7,15,70.1,15,9999.9,0,9999.9,0,8.7,10,8.7,15,15.0,999.9,   86.0*,  73.4*, 0.04G,999.9,0,
83,836980,99999,20180325,81.6,15,70.2,15,9999.9,0,9999.9,0,10.4,6,10.1,15,18.1,999.9,   86.0*,  71.6*, 0.00G,999.9,0,
84,836980,99999,20180326,81.9,15,68.5,15,9999.9,0,9999.9,0,999.9,0,9.2,15,14.0,999.9,   87.8*,  73.4*, 0.00I,999.9,0,
85,836980,99999,20180327,81.3,15,70.2,15,9999.9,0,9999.9,0,9.3,8,7.4,15,14.0,999.9,   86.0*,  73.4 , 0.00I,999.9,0,
86,836980,99999,20180328,81.1,15,69.1,15,9999.9,0,9999.9,0,8.0,12,4.8,15,12.0,999.9,   86.0*,  72.5 , 0.00I,999.9,0,
87,836980,99999,20180329,81.3,15,70.2,15,9999.9,0,9999.9,0,8.1,13,6.0,15,14.0,999.9,   86.0*,  73.4*, 0.08G,999.9,0,
88,836980,99999,20180330,81.0,15,68.1,15,9999.9,0,9999.9,0,8.7,10,4.7,15,9.9,999.9,   86.0*,  71.6*, 0.00G,999.9,0,
89,836980,99999,20180331,81.3,15,68.6,15,9999.9,0,9999.9,0,9.8,7,5.8,15,14.0,999.9,   87.8*,  71.6*, 0.00I,999.9,0,
90,836980,99999,20180401,81.8,15,69.9,15,9999.9,0,9999.9,0,9.3,8,6.4,15,14.0,999.9,   87.8*,  73.4 , 0.00I,999.9,0,
91,836980,99999,20180402,83.4,15,70.3,15,9999.9,0,9999.9,0,10.4,6,6.3,15,9.9,999.9,   89.6*,  73.4 , 0.00I,999.9,0,
92,836980,99999,20180403,83.1,15,71.6,15,9999.9,0,9999.9,0,8.1,13,5.3,15,12.0,999.9,   91.4*,  73.4 ,99.99 ,999.9,10010,
93,836980,99999,20180404,78.4,15,71.1,15,9999.9,0,9999.9,0,8.3,12,4.9,15,9.9,999.9,   82.4*,  74.3 , 0.12G,999.9,0,
94,836980,99999,20180405,80.8,15,72.5,15,9999.9,0,9999.9,0,8.1,13,4.1,15,9.9,999.9,   86.0*,  73.4*, 0.00G,999.9,0,
95,836980,99999,20180406,76.7,15,73.5,15,9999.9,0,9999.9,0,6.5,15,4.8,15,9.9,999.9,   80.6*,  75.2 , 0.20G,999.9,10000,
96,836980,99999,20180407,77.5,15,71.8,15,9999.9,0,9999.9,0,7.8,15,3.6,15,9.9,999.9,   84.2*,  71.6*, 0.00G,999.9,10000,
97,836980,99999,20180408,77.7,15,71.4,15,9999.9,0,9999.9,0,6.2,13,4.5,15,15.9,999.9,   82.4*,  73.4*, 0.00I,999.9,0,
98,836980,99999,20180409,79.8,15,68.7,15,9999.9,0,9999.9,0,9.0,9,3.6,15,11.1,999.9,   86.0*,  71.2 , 0.24G,999.9,0,
99,836980,99999,20180410,79.4,15,67.5,15,9999.9,0,9999.9,0,9.0,9,4.1,15,12.0,999.9,   86.0*,  69.8*, 0.00G,999.9,0,
100,836980,99999,20180411,75.2,6,70.1,6,9999.9,0,9999.9,0,6.2,5,3.1,6,5.1,999.9,   78.8*,  71.6*, 0.00I,999.9,0,
101,836980,99999,20180412,78.5,15,70.3,15,9999.9,0,9999.9,0,8.3,12,2.7,15,8.0,999.9,   82.4*,  69.1 , 0.08G,999.9,0,
102,836980,99999,20180413,80.5,15,71.4,15,9999.9,0,9999.9,0,9.0,9,4.1,15,11.1,999.9,   86.0*,  73.4*, 0.00G,999.9,0,
103,836980,99999,20180414,80.2,15,71.9,15,9999.9,0,9999.9,0,7.7,13,4.8,15,18.1,999.9,   86.0*,  73.0 ,99.99 ,999.9,10000,
104,836980,99999,20180415,76.2,15,71.4,15,9999.9,0,9999.9,0,7.0,15,8.5,15,15.9,999.9,   82.4*,  73.4 , 0.16G,999.9,10000,
105,836980,99999,20180416,74.7,15,67.5,15,9999.9,0,9999.9,0,6.3,11,7.0,15,18.1,999.9,   78.8*,  71.6*, 0.91G,999.9,10000,
106,836980,99999,20180417,75.4,15,64.5,15,9999.9,0,9999.9,0,7.9,15,7.6,15,13.0,999.9,   80.6*,  68.0 , 0.04G,999.9,0,
107,836980,99999,20180418,74.8,15,64.4,15,9999.9,0,9999.9,0,8.5,11,3.6,15,8.9,999.9,   80.6*,  66.2*, 0.00G,999.9,0,
108,836980,99999,20180419,75.1,15,64.8,15,9999.9,0,9999.9,0,8.3,12,5.6,15,12.0,999.9,   80.6*,  66.2 , 0.02G,999.9,0,
109,836980,99999,20180420,77.3,15,65.6,15,9999.9,0,9999.9,0,9.0,9,3.9,15,14.0,999.9,   84.2*,  68.0 , 0.00G,999.9,0,
110,836980,99999,20180421,76.2,15,64.2,15,9999.9,0,9999.9,0,9.0,9,3.7,15,8.9,999.9,   82.4*,  67.3 , 0.00I,999.9,0,
111,836980,99999,20180422,73.6,15,66.7,15,9999.9,0,9999.9,0,8.1,13,6.2,15,13.0,999.9,   77.0*,  68.0*, 0.00I,999.9,0,
112,836980,99999,20180423,76.2,13,68.2,13,9999.9,0,9999.9,0,8.1,13,3.4,13,13.0,999.9,   84.2*,  68.9 , 0.00I,999.9,0,
113,836980,99999,20180424,77.4,15,69.5,15,9999.9,0,9999.9,0,8.5,11,5.1,15,12.0,999.9,   82.4*,  71.6 , 0.08G,999.9,0,
114,836980,99999,20180425,78.8,15,68.9,15,9999.9,0,9999.9,0,8.5,11,3.0,15,9.9,999.9,   84.2*,  71.2 , 0.00G,999.9,0,
115,836980,99999,20180426,77.4,15,70.7,15,9999.9,0,9999.9,0,8.0,12,2.3,15,6.0,999.9,   82.4*,  67.5 , 0.00I,999.9,0,
116,836980,99999,20180427,78.5,15,69.9,15,9999.9,0,9999.9,0,8.5,11,3.9,15,8.9,999.9,   84.2*,  71.6*, 0.04G,999.9,0,
117,836980,99999,20180428,76.9,15,68.4,15,9999.9,0,9999.9,0,8.3,12,4.4,15,8.0,999.9,   82.4*,  65.3 , 0.51G,999.9,0,
118,836980,99999,20180429,75.6,15,66.7,15,9999.9,0,9999.9,0,7.3,12,4.1,15,9.9,999.9,   82.4*,  68.0*, 0.00G,999.9,0,
119,836980,99999,20180430,77.2,15,67.9,15,9999.9,0,9999.9,0,9.8,7,7.0,15,14.0,999.9,   82.4*,  65.7 , 0.00I,999.9,0,
120,836980,99999,20180501,79.6,15,64.2,15,9999.9,0,9999.9,0,999.9,0,3.2,15,8.0,999.9,   87.8*,  66.2*, 0.00I,999.9,0,
121,836980,99999,20180502,78.3,15,68.5,15,9999.9,0,9999.9,0,10.4,6,5.4,15,9.9,999.9,   84.2*,  67.8 , 0.00I,999.9,0,
122,836980,99999,20180503,75.5,15,71.7,15,9999.9,0,9999.9,0,7.1,15,4.5,15,9.9,999.9,   80.6*,  72.5 ,99.99 ,999.9,10000,
123,836980,99999,20180504,75.4,15,71.9,15,9999.9,0,9999.9,0,6.4,15,5.6,15,12.0,999.9,   77.0*,  71.6*, 0.24G,999.9,10000,
124,836980,99999,20180505,77.2,15,69.3,15,9999.9,0,9999.9,0,6.2,8,7.1,15,14.0,999.9,   82.4*,  69.8*, 0.00G,999.9,0,
125,836980,99999,20180506,77.4,15,68.1,15,9999.9,0,9999.9,0,8.7,10,3.5,14,8.0,999.9,   84.2*,  68.0*, 0.00I,999.9,0,
126,836980,99999,20180507,76.7,15,68.6,15,9999.9,0,9999.9,0,8.6,10,6.6,15,12.0,999.9,   82.4*,  69.8 , 0.00I,999.9,0,
127,836980,99999,20180508,73.7,15,69.2,15,9999.9,0,9999.9,0,7.3,15,7.1,15,14.0,999.9,   75.2*,  68.9 , 0.55G,999.9,10000,
128,836980,99999,20180509,73.6,15,65.4,15,9999.9,0,9999.9,0,8.1,13,6.1,15,12.0,999.9,   78.8*,  68.0*, 0.59G,999.9,0,
129,836980,99999,20180510,73.6,15,64.8,15,9999.9,0,9999.9,0,8.7,10,4.6,15,12.0,999.9,   80.6*,  63.7 , 0.00G,999.9,0,
130,836980,99999,20180511,76.3,15,63.7,15,9999.9,0,9999.9,0,9.8,7,4.6,15,9.9,999.9,   82.4*,  65.7 , 0.00I,999.9,0,
131,836980,99999,20180512,79.8,15,65.4,15,9999.9,0,9999.9,0,999.9,0,6.5,15,12.0,999.9,   87.8*,  67.5 , 0.00I,999.9,0,
132,836980,99999,20180513,74.2,15,67.7,15,9999.9,0,9999.9,0,9.3,8,9.1,15,18.1,999.9,   77.0*,  72.5 , 0.00I,999.9,0,
133,836980,99999,20180514,74.6,15,68.1,15,9999.9,0,9999.9,0,8.5,11,4.2,15,9.9,999.9,   78.8*,  70.7 , 0.00I,999.9,0,
134,836980,99999,20180515,75.4,15,67.4,15,9999.9,0,9999.9,0,10.4,6,5.1,15,12.0,999.9,   78.8*,  69.3 , 0.08G,999.9,0,
135,836980,99999,20180516,79.6,15,67.5,15,9999.9,0,9999.9,0,12.4,4,6.9,15,15.0,999.9,   86.0*,  70.7 , 0.00G,999.9,0,
136,836980,99999,20180517,75.8,15,67.4,15,9999.9,0,9999.9,0,8.3,12,7.3,15,14.0,999.9,   78.8*,  69.3 , 0.00I,999.9,0,
137,836980,99999,20180518,76.6,15,69.2,15,9999.9,0,9999.9,0,8.7,10,3.6,15,9.9,999.9,   80.6*,  71.2 , 0.00I,999.9,0,
138,836980,99999,20180519,80.9,15,68.4,15,9999.9,0,9999.9,0,8.6,9,5.9,15,9.9,999.9,   89.6*,  69.8*, 0.00I,999.9,0,
139,836980,99999,20180520,74.2,15,63.9,15,9999.9,0,9999.9,0,8.5,11,8.6,15,14.0,999.9,   78.8*,  68.0*, 0.00I,999.9,0,
140,836980,99999,20180521,71.6,15,58.1,15,9999.9,0,9999.9,0,999.9,0,2.8,15,8.0,999.9,   80.6*,  59.0*, 0.00I,999.9,0,
141,836980,99999,20180522,73.3,15,62.5,15,9999.9,0,9999.9,0,10.4,6,4.6,15,12.0,999.9,   80.6*,  61.2 , 0.00I,999.9,0,
142,836980,99999,20180523,74.6,15,65.0,15,9999.9,0,9999.9,0,8.7,9,4.9,15,12.0,999.9,   82.4*,  61.9 , 0.00I,999.9,0,
143,836980,99999,20180524,75.2,14,63.3,14,9999.9,0,9999.9,0,9.0,9,5.3,14,12.0,999.9,   80.6*,  68.0*, 0.00I,999.9,0,
144,836980,99999,20180525,70.0,15,66.0,15,9999.9,0,9999.9,0,7.9,13,2.1,15,7.0,999.9,   73.4*,  67.8 ,99.99 ,999.9,10000,
145,836980,99999,20180526,72.2,14,63.5,14,9999.9,0,9999.9,0,9.0,9,2.2,14,6.0,999.9,   78.8*,  66.2*, 0.47G,999.9,0,
146,836980,99999,20180527,72.5,15,62.9,15,9999.9,0,9999.9,0,6.8,10,3.7,15,12.0,999.9,   78.8*,  61.0 , 0.00G,999.9,0,
147,836980,99999,20180528,71.6,10,64.4,10,9999.9,0,9999.9,0,9.2,7,6.5,10,15.0,999.9,   77.0*,  61.9 ,99.99 ,999.9,10000,
148,836980,99999,20180529,71.9,13,63.5,13,9999.9,0,9999.9,0,8.7,10,4.1,13,9.9,999.9,   78.8*,  62.6*, 0.24G,999.9,0,
149,836980,99999,20180530,70.8,14,67.2,14,9999.9,0,9999.9,0,6.6,9,3.0,14,8.0,999.9,   75.2*,  65.7 , 0.04G,999.9,10000,
