,STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  .1,  SLP  ,  .2,  STP  ,  .3, VISIB,  .4,  WDSP,  .5, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Unnamed: 22
0,767493,99999,20180101,78.2,14,9999.9,0,1020.2,5,9999.9,0,6.7,14,7.3,14,15.0,999.9,   80.6*,  75.2*, 0.00I,999.9,0,
1,767493,99999,20180102,74.5,15,9999.9,0,1021.1,5,9999.9,0,7.0,15,9.5,15,12.0,999.9,   77.0*,  69.8*, 0.00I,999.9,0,
2,767493,99999,20180103,73.8,13,9999.9,0,1021.1,4,9999.9,0,6.9,13,5.8,13,15.0,999.9,   77.0*,  69.8*, 0.00I,999.9,0,
3,767493,99999,20180104,68.6,15,9999.9,0,1022.6,6,9999.9,0,4.2,15,8.6,15,9.9,999.9,   71.6*,  66.2*,99.99 ,999.9,10000,
4,767493,99999,20180105,71.2,14,9999.9,0,1023.5,5,9999.9,0,7.0,14,8.0,14,9.9,999.9,   75.2*,  64.4*, 0.00I,999.9,0,
5,767493,99999,20180106,71.8,19,9999.9,0,1023.2,7,9999.9,0,7.0,19,6.2,19,9.9,999.9,   75.2*,  66.2*, 0.00I,999.9,0,
6,767493,99999,20180107,74.4,18,9999.9,0,1020.6,6,9999.9,0,7.0,18,6.8,18,8.0,999.9,   84.2*,  66.2*, 0.00I,999.9,0,
7,767493,99999,20180108,73.9,18,9999.9,0,1016.8,6,9999.9,0,6.8,18,8.3,18,9.9,999.9,   80.6*,  68.0*, 0.00I,999.9,0,
8,767493,99999,20180109,74.1,18,9999.9,0,1018.3,6,9999.9,0,5.9,18,6.8,18,9.9,999.9,   78.8*,  68.0*, 0.00I,999.9,0,
9,767493,99999,20180110,73.5,15,9999.9,0,1015.2,5,9999.9,0,7.0,15,6.3,15,9.9,999.9,   84.2*,  64.4*, 0.00I,999.9,0,
10,767493,99999,20180111,76.5,17,9999.9,0,1010.9,6,9999.9,0,6.2,17,11.3,17,18.1,999.9,   86.0*,  68.0*, 0.00I,999.9,0,
11,767493,99999,20180112,75.5,14,9999.9,0,1019.4,5,9999.9,0,5.1,14,13.3,14,22.0,999.9,   77.0*,  73.4*,99.99 ,999.9,10000,
12,767493,99999,20180113,73.1,16,9999.9,0,1025.2,6,9999.9,0,6.6,16,10.5,16,15.0,999.9,   75.2*,  69.8*, 0.00I,999.9,0,
13,767493,99999,20180114,69.9,17,9999.9,0,1027.5,6,9999.9,0,6.6,17,7.0,17,15.0,999.9,   71.6*,  66.2*,99.99 ,999.9,10000,
14,767493,99999,20180115,70.9,13,9999.9,0,1024.3,4,9999.9,0,7.0,13,7.7,13,9.9,999.9,   75.2*,  64.4*, 0.00I,999.9,0,
15,767493,99999,20180116,70.8,15,9999.9,0,1023.8,5,9999.9,0,6.8,15,4.7,15,8.0,999.9,   77.0*,  64.4*, 0.00I,999.9,0,
16,767493,99999,20180117,72.2,16,62.9,6,1025.1,6,9999.9,0,6.8,16,3.7,16,8.9,999.9,   75.2*,  68.0*, 0.00I,999.9,0,
17,767493,99999,20180118,71.0,18,62.8,18,1023.3,6,9999.9,0,7.0,18,7.5,18,11.1,999.9,   73.4*,  68.0*, 0.00I,999.9,0,
