,STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  .1,  SLP  ,  .2,  STP  ,  .3, VISIB,  .4,  WDSP,  .5, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Unnamed: 22
0,854880,99999,20180101,64.0,24,56.6,24,1017.1,4,1001.4,4,6.5,24,5.6,24,9.9,999.9,   70.3 ,  60.3 , 0.00G,999.9,0,
1,854880,99999,20180102,62.3,23,55.0,23,1017.9,4,1002.1,4,6.9,14,6.5,23,12.0,999.9,   70.7 ,  56.3 , 0.00G,999.9,0,
2,854880,99999,20180103,61.8,24,55.2,24,1015.8,4,1000.0,4,6.9,14,5.5,24,13.0,999.9,   69.4 ,  56.5 , 0.00G,999.9,0,
3,854880,99999,20180104,62.4,24,56.7,24,1013.8,4,998.1,4,6.3,21,5.8,24,14.0,999.9,   69.8*,  56.1 , 0.00G,999.9,0,
4,854880,99999,20180105,62.8,24,57.2,24,1015.0,4,999.2,4,6.2,16,5.9,24,14.0,999.9,   70.5 ,  58.3 , 0.00G,999.9,0,
5,854880,99999,20180106,62.0,23,55.9,23,1014.6,4,998.8,4,6.7,17,6.6,23,14.0,999.9,   73.0 ,  57.2 , 0.00G,999.9,0,
6,854880,99999,20180107,63.5,24,56.5,24,1015.3,4,999.6,4,6.2,23,4.6,24,11.1,999.9,   70.2*,  57.2*, 0.00G,999.9,0,
7,854880,99999,20180108,65.0,24,56.0,24,1014.9,4,999.2,4,7.2,17,4.9,24,11.1,999.9,   72.3*,  59.0 , 0.00G,999.9,0,
8,854880,99999,20180109,64.2,23,54.9,23,1014.2,4,998.6,4,7.2,13,5.2,23,13.0,999.9,   72.9 ,  57.2*, 0.00G,999.9,0,
9,854880,99999,20180110,64.3,23,57.3,23,1014.2,4,998.5,4,6.8,19,4.4,23,9.9,999.9,   71.6*,  57.7 , 0.00H,999.9,10000,
10,854880,99999,20180111,65.1,24,58.3,24,1015.6,4,999.9,4,6.4,24,4.7,24,11.1,999.9,   73.4 ,  60.1 , 0.00G,999.9,0,
11,854880,99999,20180112,63.8,24,58.8,24,1015.1,5,999.5,5,6.3,24,5.3,24,8.0,999.9,   73.2 ,  60.8*, 0.00G,999.9,10000,
12,854880,99999,20180113,65.0,24,57.7,24,1014.6,4,998.9,4,6.9,24,5.1,24,12.0,999.9,   71.8*,  60.8*, 0.00G,999.9,0,
13,854880,99999,20180114,65.4,24,57.9,24,1014.5,4,998.9,4,6.3,24,5.0,24,9.9,999.9,   73.6 ,  61.3 , 0.00G,999.9,0,
14,854880,99999,20180115,64.9,24,58.0,24,1016.4,4,1000.7,4,6.4,24,5.9,24,9.9,999.9,   71.1 ,  61.9 , 0.00G,999.9,0,
15,854880,99999,20180116,63.6,24,53.3,24,9999.9,0,9999.9,0,6.4,6,6.6,24,14.0,999.9,   71.6*,  53.6*, 0.00G,999.9,0,
16,854880,99999,20180117,63.2,24,55.9,24,9999.9,0,9999.9,0,6.2,13,5.8,24,13.0,999.9,   73.6 ,  55.4*, 0.00G,999.9,0,
17,854880,99999,20180118,63.3,24,57.2,24,1014.6,5,998.9,5,6.9,20,5.0,24,12.0,999.9,   71.4 ,  58.1 , 0.00G,999.9,0,
18,854880,99999,20180119,63.8,24,57.4,24,1013.9,4,998.2,4,6.1,22,4.9,24,9.9,999.9,   71.6*,  59.5 , 0.00G,999.9,10000,
19,854880,99999,20180120,63.2,24,56.2,24,1013.1,4,997.4,4,6.5,24,5.1,24,9.9,999.9,   72.5 ,  59.0*, 0.00G,999.9,10000,
20,854880,99999,20180121,64.8,24,55.6,24,1012.7,4,997.0,4,6.3,15,5.2,24,14.0,999.9,   73.4*,  57.7 , 0.00G,999.9,0,
21,854880,99999,20180122,64.5,23,55.3,23,1011.0,4,995.4,4,6.8,8,6.3,23,13.0,999.9,   74.8 ,  55.4 , 0.00G,999.9,0,
22,854880,99999,20180123,64.9,24,56.2,24,1011.5,4,995.8,4,7.2,15,5.9,24,11.1,999.9,   73.2 ,  57.2 , 0.00G,999.9,0,
23,854880,99999,20180124,64.3,24,56.6,24,1012.1,4,996.4,4,7.0,13,4.6,24,8.9,999.9,   74.1 ,  57.9 , 0.00G,999.9,0,
24,854880,99999,20180125,64.0,24,56.6,24,1012.9,4,997.2,4,6.7,24,4.8,24,11.1,999.9,   72.7 ,  57.6 , 0.00G,999.9,0,
25,854880,99999,20180126,64.1,24,57.1,24,1012.7,4,997.0,4,6.2,19,4.4,24,13.0,999.9,   72.7 ,  59.0*, 0.00G,999.9,0,
26,854880,99999,20180127,61.9,24,55.6,24,1011.6,5,995.8,5,6.6,13,6.0,24,14.0,999.9,   70.7 ,  55.2 , 0.00G,999.9,0,
27,854880,99999,20180128,64.8,14,57.4,14,9999.9,0,9999.9,0,6.1,13,7.1,14,12.0,999.9,   69.8*,  55.9 , 0.00G,999.9,0,
28,854880,99999,20180129,62.8,24,56.8,24,1008.6,4,992.9,4,6.4,20,6.3,24,9.9,999.9,   69.3 ,  59.0*, 0.00G,999.9,0,
29,854880,99999,20180130,61.3,24,56.0,24,1011.7,4,995.9,4,5.9,20,4.9,22,8.9,999.9,   70.0 ,  58.1 , 0.00G,999.9,110000,
30,854880,99999,20180131,61.1,24,55.2,24,1011.2,4,995.4,4,6.8,13,5.7,24,11.1,999.9,   69.8*,  53.4 , 0.00G,999.9,0,
31,854880,99999,20180201,62.4,24,56.2,24,1012.0,4,996.3,4,6.2,24,5.2,24,9.9,999.9,   70.0 ,  59.0*, 0.00G,999.9,0,
32,854880,99999,20180202,63.1,24,55.5,24,1012.4,4,996.0,4,6.3,19,5.6,22,12.0,999.9,   69.8 ,  58.8 , 0.00G,999.9,10000,
33,854880,99999,20180203,64.0,24,56.3,24,1012.8,4,997.1,4,7.0,14,4.6,24,11.1,999.9,   71.6*,  56.8 , 0.00G,999.9,0,
34,854880,99999,20180204,64.9,23,56.9,23,1013.7,5,997.7,5,6.9,11,5.8,23,13.0,999.9,   73.4*,  57.7 , 0.00G,999.9,0,
35,854880,99999,20180205,65.6,24,57.8,24,1014.4,4,998.8,4,7.8,8,5.6,24,11.1,999.9,   73.9 ,  59.7 , 0.00G,999.9,0,
36,854880,99999,20180206,65.7,24,58.9,24,1013.3,4,997.7,4,6.5,23,5.8,24,12.0,999.9,   73.2 ,  62.6*, 0.00G,999.9,0,
37,854880,99999,20180207,65.8,24,57.8,24,1014.7,4,999.0,4,6.2,21,6.4,24,13.0,999.9,   72.3 ,  62.6 , 0.00G,999.9,0,
38,854880,99999,20180208,63.6,24,58.0,24,1013.4,4,997.7,4,6.9,18,5.4,24,11.1,999.9,   73.0 ,  58.8 , 0.00G,999.9,0,
39,854880,99999,20180209,64.0,24,57.1,24,1012.7,4,997.1,4,6.8,10,5.1,24,12.0,999.9,   70.7 ,  57.2 , 0.00G,999.9,0,
40,854880,99999,20180210,64.0,24,56.4,24,1011.6,4,995.9,4,8.5,4,5.8,22,12.0,999.9,   70.9 ,  57.2*, 0.00G,999.9,0,
41,854880,99999,20180211,62.5,24,55.4,24,1014.6,4,998.8,4,6.4,10,6.2,24,15.0,999.9,   71.2 ,  55.8 , 0.00G,999.9,0,
42,854880,99999,20180212,62.0,24,55.4,24,1012.6,5,996.8,5,5.8,10,6.1,24,15.0,999.9,   69.6 ,  55.9 , 0.00G,999.9,0,
43,854880,99999,20180213,63.5,23,57.6,23,1013.6,4,997.9,4,6.5,21,4.5,23,9.9,999.9,   71.6*,  59.0 , 0.00G,999.9,10000,
44,854880,99999,20180214,65.9,23,57.1,23,1014.5,4,998.9,4,6.6,10,5.6,23,11.1,999.9,   71.6*,  58.5 , 0.00G,999.9,0,
45,854880,99999,20180215,64.9,24,57.3,24,1014.0,4,998.4,4,6.7,21,4.9,24,9.9,999.9,   72.9 ,  60.1 , 0.00G,999.9,0,
46,854880,99999,20180216,63.8,24,57.9,24,1015.7,4,999.9,4,6.2,24,5.7,24,11.1,999.9,   73.0 ,  60.8*, 0.00G,999.9,0,
47,854880,99999,20180217,62.5,24,57.9,24,1015.0,4,999.3,4,6.0,24,4.9,24,9.9,999.9,   71.4 ,  60.4 , 0.00G,999.9,10000,
48,854880,99999,20180218,63.7,23,58.0,23,1013.2,4,997.5,4,6.2,23,5.7,23,12.0,999.9,   69.8*,  60.8 , 0.00G,999.9,0,
49,854880,99999,20180219,65.7,22,58.4,22,1013.7,4,997.9,4,6.5,17,5.2,22,11.1,999.9,   73.4*,  57.6 , 0.00G,999.9,0,
50,854880,99999,20180220,66.2,23,59.4,23,1014.6,4,999.0,4,6.4,16,5.5,23,12.0,999.9,   74.3 ,  61.9 , 0.00G,999.9,0,
51,854880,99999,20180221,65.4,24,59.5,24,1015.5,4,999.8,4,6.6,18,5.1,24,11.1,999.9,   73.2 ,  60.1 , 0.00G,999.9,0,
52,854880,99999,20180222,64.0,24,58.8,24,1015.2,4,999.5,4,6.5,19,5.2,24,13.0,999.9,   72.7 ,  59.2 , 0.00G,999.9,0,
53,854880,99999,20180223,63.1,23,58.1,23,1014.7,4,998.9,4,6.5,17,5.3,23,9.9,999.9,   70.9 ,  57.2*, 0.00G,999.9,0,
