,STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  .1,  SLP  ,  .2,  STP  ,  .3, VISIB,  .4,  WDSP,  .5, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Unnamed: 22
0,846280,99999,20180523,64.3,5,61.1,5,9999.9,0,9999.9,0,6.0,5,6.5,5,9.9,999.9,   66.4*,  62.6*, 0.00I,999.9,0,
1,846280,99999,20180524,65.6,22,60.9,22,1015.3,6,1013.7,6,4.9,22,5.7,22,8.9,999.9,   69.8*,  62.6*, 0.00I,999.9,0,
2,846280,99999,20180525,64.4,24,60.7,24,1014.8,8,1013.2,8,4.9,24,5.9,24,8.9,999.9,   70.2 ,  62.6 , 0.00I,999.9,0,
3,846280,99999,20180526,65.5,23,59.8,23,1014.5,7,1012.9,7,5.7,23,6.6,23,11.1,999.9,   69.8*,  63.5 , 0.00I,999.9,0,
4,846280,99999,20180527,64.7,24,59.9,24,1014.8,8,1013.2,8,5.2,24,5.8,24,9.9,999.9,   70.7 ,  62.6*, 0.00I,999.9,0,
5,846280,99999,20180528,61.9,18,58.9,18,1015.5,7,1013.9,7,3.9,18,4.9,18,8.0,999.9,   69.1 ,  58.5 , 0.00I,999.9,0,
6,846280,99999,20180529,61.5,22,59.1,22,1016.8,5,1015.2,5,2.8,22,5.2,22,8.9,999.9,   65.7 ,  60.3 , 0.00I,999.9,0,
7,846280,99999,20180530,61.5,24,59.7,24,1014.4,4,1012.8,4,3.5,24,5.2,24,8.0,999.9,   64.4*,  60.3*,99.99 ,999.9,10000,
8,846280,99999,20180531,61.9,23,59.1,23,1012.8,7,1011.2,7,3.6,23,4.0,23,6.0,999.9,   65.3 ,  59.9 , 0.00G,999.9,10000,
9,846280,99999,20180601,62.0,24,59.1,24,1012.1,8,1010.5,8,4.1,24,7.9,23,12.0,999.9,   65.3 ,  59.7 , 0.00G,999.9,10000,
10,846280,99999,20180602,64.0,22,58.7,22,1013.3,8,1011.7,8,5.6,22,4.9,22,8.0,999.9,   69.8*,  60.6 , 0.00I,999.9,0,
11,846280,99999,20180603,63.1,24,58.9,24,1015.1,8,1013.5,8,5.9,21,5.0,24,8.0,999.9,   69.8*,  59.0*, 0.00I,999.9,0,
12,846280,99999,20180604,63.0,24,60.3,24,1016.7,7,1015.1,7,4.3,23,4.6,24,8.9,999.9,   70.3 ,  60.8*,99.99 ,999.9,10000,
13,846280,99999,20180605,62.4,24,60.4,24,1015.1,8,1013.5,8,3.6,23,4.3,24,6.0,999.9,   66.4 ,  60.4 , 0.00I,999.9,0,
14,846280,99999,20180606,63.4,24,60.4,24,1013.5,7,1011.9,7,4.6,24,2.9,24,5.1,999.9,   66.2 ,  60.8*, 0.00I,999.9,0,
15,846280,99999,20180607,63.6,24,60.1,24,1013.3,8,1011.7,8,4.7,24,4.4,24,7.0,999.9,   66.2*,  61.9 , 0.00G,999.9,10000,
16,846280,99999,20180608,63.7,24,59.8,24,1014.1,8,1012.5,8,5.2,24,5.9,24,8.9,999.9,   66.9*,  61.9 ,99.99 ,999.9,10000,
17,846280,99999,20180609,62.6,24,59.7,24,1014.7,7,1013.1,7,4.5,24,4.7,24,8.0,999.9,   67.6 ,  60.4 , 0.00G,999.9,10000,
18,846280,99999,20180610,63.5,24,59.0,24,1015.3,7,1013.7,7,6.1,24,6.7,24,12.0,999.9,   66.7 ,  60.8*,99.99 ,999.9,10000,
19,846280,99999,20180611,62.3,24,58.9,24,1016.2,7,1014.5,7,5.5,24,7.9,24,11.1,999.9,   66.0 ,  60.8 , 0.00G,999.9,0,
20,846280,99999,20180612,61.9,24,58.8,24,1015.5,7,1013.9,7,5.1,24,5.0,24,11.1,999.9,   64.4*,  60.6 ,99.99 ,999.9,10000,
21,846280,99999,20180613,62.6,24,58.9,24,1015.5,7,1013.9,7,5.5,24,6.5,24,11.1,999.9,   64.4*,  60.8*, 0.00I,999.9,0,
22,846280,99999,20180614,62.1,24,59.0,24,1015.6,8,1014.0,8,5.1,24,6.9,24,11.1,999.9,   65.3 ,  60.8 , 0.00B,999.9,10000,
23,846280,99999,20180615,61.4,24,58.7,24,1015.8,8,1014.2,8,4.1,23,4.8,24,8.0,999.9,   64.6 ,  59.0*, 0.00G,999.9,10000,
24,846280,99999,20180616,61.9,24,58.3,24,1016.6,8,1015.0,8,5.2,24,4.7,24,8.0,999.9,   64.6 ,  59.0*, 0.00G,999.9,10000,
25,846280,99999,20180617,61.8,24,58.8,24,1016.0,8,1014.4,8,6.0,24,7.1,24,9.9,999.9,   64.8 ,  60.8*, 0.00I,999.9,0,
26,846280,99999,20180618,61.2,24,58.4,24,1016.0,8,1014.5,8,4.9,24,4.0,24,6.0,999.9,   63.3 ,  59.0*, 0.01G,999.9,10000,
27,846280,99999,20180619,61.0,24,57.9,24,1017.1,6,1015.5,6,5.1,24,4.4,24,8.9,999.9,   63.9 ,  59.0*, 0.00G,999.9,10000,
28,846280,99999,20180620,61.2,24,57.6,24,1016.5,8,1014.9,8,4.9,24,5.6,24,9.9,999.9,   64.4*,  59.0 , 0.00I,999.9,0,
29,846280,99999,20180621,63.2,24,56.9,24,1017.4,7,1015.8,7,6.2,24,6.3,24,11.1,999.9,   66.2*,  60.8 , 0.00I,999.9,0,
