,STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  .1,  SLP  ,  .2,  STP  ,  .3, VISIB,  .4,  WDSP,  .5, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,Unnamed: 22
0,839710,99999,20180101,77.1,24,70.2,24,1006.9,7,1006.5,7,7.7,19,5.8,24,13.0,27.0,   87.8*,  69.8*, 0.24A,999.9,10010,
1,839710,99999,20180102,74.4,24,69.4,24,1003.9,7,1003.5,7,7.4,20,6.5,24,12.0,999.9,   81.0*,  71.2 , 0.75G,999.9,10010,
2,839710,99999,20180103,76.0,24,65.8,24,1006.2,7,1005.8,7,7.5,22,7.5,24,13.0,999.9,   86.0*,  68.0 , 0.00G,999.9,0,
3,839710,99999,20180104,78.2,24,62.0,24,1010.7,8,1010.3,8,12.4,8,4.8,24,8.9,999.9,   91.4*,  64.4*, 0.00I,999.9,0,
4,839710,99999,20180105,82.1,24,62.9,24,1009.9,8,1009.5,8,10.0,13,5.5,24,9.9,999.9,   95.0*,  67.8 , 0.00I,999.9,0,
5,839710,99999,20180106,77.2,24,64.9,24,1011.9,8,1011.6,8,9.0,18,7.8,24,19.0,33.0,   82.4*,  73.4*, 0.00I,999.9,0,
6,839710,99999,20180107,72.7,24,57.7,24,1018.0,8,1017.5,8,9.8,14,8.1,24,15.0,25.1,   81.0*,  62.6*, 0.00I,999.9,0,
7,839710,99999,20180108,73.8,24,61.7,24,1019.4,8,1019.0,8,9.8,14,11.1,24,22.0,999.9,   82.4*,  66.2*, 0.00I,999.9,0,
8,839710,99999,20180109,74.6,24,64.7,24,1019.8,8,1019.4,8,9.3,16,10.8,24,19.0,999.9,   84.2*,  64.4 , 0.00I,999.9,0,
9,839710,99999,20180110,77.4,24,69.7,24,1017.7,8,1017.3,8,8.1,17,7.9,24,19.0,33.0,   87.8*,  71.6 ,99.99 ,999.9,10010,
10,839710,99999,20180111,76.8,24,69.4,24,1015.3,8,1014.9,8,8.7,20,9.6,24,15.9,999.9,   84.2*,  71.6*, 1.34G,999.9,0,
