"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TEMP","TEMP_ATTRIBUTES"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-01","  75.0","18"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-02","  71.7","18"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-03","  68.6","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-04","  67.2","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-05","  67.9","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-06","  67.4","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-07","  68.7","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-08","  66.6","23"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-09","  71.6","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-10","  69.7","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-11","  71.4","19"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-12","  69.4","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-13","  65.5","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-14","  65.7","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-15","  63.8","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-16","  63.1","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-17","  68.2","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-18","  65.8","18"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-19","  65.6","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-20","  69.0","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-21","  71.4","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-22","  75.3","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-23","  79.2","18"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-24","  74.1","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-25","  71.5","19"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-26","  71.2","19"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-27","  72.9","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-28","  75.1","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-29","  72.5","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-30","  66.6","18"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-01-31","  67.2","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-01","  70.3","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-02","  72.7","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-03","  76.4","19"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-04","  76.7","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-05","  76.0","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-06","  76.8","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-07","  77.8","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-08","  77.6","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-09","  76.6","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-10","  76.0","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-11","  80.6","19"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-12","  80.5","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-13","  78.2","21"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-14","  79.2","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-15","  77.5","20"
"76843099999","TUXTLA GUTIERREZ CHIS., MX","16.75","-93.1333333","576.0","2018-02-16","  76.6","21"
